Substrate,Substrate_Concentration_mM,Temperature_C,Initial_pH,LG_Ratio,Phosphate_Concentration_mM,Sugar_Consumed_pct,Ethanol_mM,Acetate_mM,Butyrate_mM,1_2-PD_mM,Lactate_mM,H2_mM,OD600,Final_pH,Yield,1_2-PD_Yield_pct,Carbon_Balance_pct
Control,0.0,65.0,6.5,0.09,15.0,,2.95,1.82,0.1,0.1,0.2,1.8,0.09,6.9,,,
D-Glucose,10.0,65.0,6.5,0.09,15.0,88.9,11.0,6.1,0.28,0.1,0.45,8.29,0.26,6.8,55.0,0.0,104.6
D-Glucose,20.0,65.0,6.5,0.09,15.0,94.9,23.71,11.2,0.1,0.1,1.48,10.49,0.33,6.6,59.2,0.0,97.5
D-Glucose,40.0,65.0,6.5,0.09,15.0,89.6,38.66,10.48,0.1,0.1,2.72,20.45,0.35,5.8,48.3,0.0,73.9
D-Glucose,60.0,65.0,6.5,0.09,15.0,47.0,36.69,9.71,0.1,0.1,6.27,20.3,0.37,5.8,30.6,0.0,96.6
L-Fucose,10.0,65.0,6.5,0.09,15.0,0.0,2.11,1.34,0.1,0.1,0.1,0.93,0.08,6.9,,0.0,
L-Fucose,20.0,65.0,6.5,0.09,15.0,0.0,1.04,0.53,0.1,0.1,0.1,0.64,0.07,6.9,,0.0,
L-Fucose,40.0,65.0,6.5,0.09,15.0,,,,,,,,,,0.0,,
L-Fucose,60.0,65.0,6.5,0.09,15.0,,,,,,,,,,0.0,,
L-Rhamnose,10.0,65.0,6.5,0.09,15.0,80.1,2.2,3.5,0.1,6.6,0.1,1.21,0.17,7.1,22.0,66.0,79.0
L-Rhamnose,20.0,65.0,6.5,0.09,15.0,74.9,2.03,6.59,0.83,12.2,0.1,2.4,0.19,6.9,10.2,61.0,82.8
L-Rhamnose,40.0,65.0,6.5,0.09,15.0,59.9,1.9,17.68,1.05,22.13,0.1,4.71,0.3,6.2,4.8,55.3,95.4
L-Rhamnose,60.0,65.0,6.5,0.09,15.0,34.9,1.54,12.8,0.8,21.62,0.1,3.15,0.27,6.0,2.6,36.0,82.5
D-Glucose,20.0,30.0,6.5,0.09,15.0,37.0,6.89,5.53,0.1,0.1,0.1,0.22,0.13,6.8,17.2,0.0,87.5
D-Glucose,20.0,35.0,6.5,0.09,15.0,35.1,7.1,4.21,0.1,0.1,0.4,0.05,0.11,7.0,17.8,0.0,85.2
D-Glucose,20.0,40.0,6.5,0.09,15.0,34.1,6.31,4.48,0.1,0.1,0.5,0.59,0.23,6.9,21.4,0.0,84.7
D-Glucose,20.0,45.0,6.5,0.09,15.0,33.3,8.54,4.56,0.1,0.1,0.6,2.87,0.24,6.8,21.4,0.0,99.4
D-Glucose,20.0,50.0,6.5,0.09,15.0,96.0,29.4,9.1,0.1,0.1,1.55,9.65,0.2,6.6,73.5,0.0,104.8
D-Glucose,20.0,55.0,6.5,0.09,15.0,93.9,27.56,9.4,0.1,0.1,1.87,10.04,0.36,6.7,68.9,0.0,103.8
D-Glucose,20.0,60.0,6.5,0.09,15.0,0.0,1.35,1.03,0.1,0.1,0.43,0.02,0.12,6.8,0.25,0.0,
D-Glucose,20.0,65.0,6.5,0.09,15.0,0.0,1.23,1.16,0.1,0.1,0.3,0.19,0.12,6.7,0.25,0.0,
L-Rhamnose,20.0,30.0,6.5,0.09,15.0,0.0,1.97,2.32,0.67,0.29,0.1,0.83,0.07,6.9,9.9,1.5,
L-Rhamnose,20.0,35.0,6.5,0.09,15.0,15.5,2.08,2.02,0.54,0.2,0.1,0.36,0.11,6.9,10.4,1.0,86.8
L-Rhamnose,20.0,40.0,6.5,0.09,15.0,19.0,1.97,2.21,0.87,0.97,0.1,0.82,0.15,6.9,19.7,4.9,90.6
L-Rhamnose,20.0,45.0,6.5,0.09,15.0,27.0,2.19,2.0,2.02,2.83,0.1,2.16,0.14,6.8,21.9,14.2,102.4
L-Rhamnose,20.0,50.0,6.5,0.09,15.0,66.0,3.29,8.89,1.54,9.72,0.1,2.81,0.13,6.9,32.9,48.6,94.6
L-Rhamnose,20.0,55.0,6.5,0.09,15.0,60.5,3.29,10.04,1.12,7.22,0.1,2.39,0.13,6.8,32.9,36.1,94.2
L-Rhamnose,20.0,60.0,6.5,0.09,15.0,0.0,1.43,0.8,1.83,0.32,0.1,0.02,0.13,7.0,10.4,1.6,
L-Rhamnose,20.0,65.0,6.5,0.09,15.0,0.0,1.35,0.55,0.48,0.1,0.1,0.03,0.12,7.2,13.5,0.0,
D-Glucose,20.0,65.0,4.5,0.09,15.0,0.0,2.3,1.1,0.1,0.1,0.33,1.4,0.09,4.2,5.8,0.0,
D-Glucose,20.0,65.0,4.8,0.09,15.0,77.0,16.51,11.03,0.1,0.1,1.1,11.86,0.5,4.4,41.3,0.0,94.3
D-Glucose,20.0,65.0,5.1,0.09,15.0,72.1,16.19,10.42,0.1,0.1,1.4,9.29,0.49,4.7,65.4,0.0,98.6
D-Glucose,20.0,65.0,5.5,0.09,15.0,90.1,26.15,12.12,0.1,0.1,1.3,8.83,0.46,5.1,65.4,0.0,104.0
D-Glucose,20.0,65.0,5.9,0.09,15.0,90.1,21.82,12.95,0.1,0.1,1.9,9.55,0.44,5.6,54.5,0.0,101.8
D-Glucose,20.0,65.0,6.7,0.09,15.0,97.7,34.62,14.15,0.1,0.1,1.44,8.3,0.34,6.6,86.6,0.0,108.9
D-Glucose,20.0,65.0,7.2,0.09,15.0,92.7,24.34,12.81,0.25,0.1,1.4,8.91,0.37,6.8,60.9,0.0,105.6
D-Glucose,20.0,65.0,7.8,0.09,15.0,93.8,27.45,14.68,0.34,0.1,1.0,8.43,0.33,7.5,68.6,0.0,105.5
D-Glucose,20.0,65.0,8.5,0.09,15.0,0.0,2.1,1.0,0.1,0.1,0.2,1.2,0.11,8.3,5.3,0.0,
L-Rhamnose,20.0,65.0,4.5,0.09,15.0,0.0,0.4,1.2,0.1,0.8,0.1,0.2,0.07,4.1,2.0,4.0,
L-Rhamnose,20.0,65.0,4.8,0.09,15.0,52.1,1.74,10.13,1.6,6.46,0.1,3.01,0.14,4.5,8.7,32.3,103.5
L-Rhamnose,20.0,65.0,5.1,0.09,15.0,66.0,3.07,10.92,2.1,7.63,0.1,3.05,0.14,4.8,15.4,38.2,97.8
L-Rhamnose,20.0,65.0,5.5,0.09,15.0,77.5,0.94,12.99,2.0,9.22,0.1,3.22,0.16,5.1,4.7,46.1,87.6
L-Rhamnose,20.0,65.0,5.9,0.09,15.0,71.5,1.24,10.72,1.9,8.42,0.1,2.49,0.13,5.4,6.2,42.1,84.5
L-Rhamnose,20.0,65.0,6.7,0.09,15.0,77.0,2.22,15.1,1.3,10.38,0.1,3.48,0.16,6.3,11.1,51.9,98.4
L-Rhamnose,20.0,65.0,7.2,0.09,15.0,61.5,1.33,10.1,1.0,8.49,0.1,2.73,0.19,6.9,6.7,42.5,89.1
L-Rhamnose,20.0,65.0,7.8,0.09,15.0,56.1,0.94,10.6,1.5,7.54,0.1,2.32,0.21,7.3,4.7,37.7,98.6
L-Rhamnose,20.0,65.0,8.5,0.09,15.0,0.9,0.4,1.0,0.2,0.7,0.1,0.23,0.98,8.4,2.0,3.5,
D-Glucose,20.0,65.0,6.5,0.09,15.0,96.1,22.2,14.1,0.25,0.1,1.71,2.4,0.37,6.4,55.5,0.0,101.8
D-Glucose,20.0,65.0,6.5,0.34,15.0,97.3,26.42,11.5,0.1,0.1,2.63,6.4,0.35,6.3,66.1,0.0,106.1
D-Glucose,20.0,65.0,6.5,1.0,15.0,97.0,24.04,11.9,0.1,0.1,4.46,18.51,0.35,6.4,60.1,0.0,106.3
D-Glucose,20.0,65.0,6.5,2.12,15.0,96.0,26.11,9.2,0.1,0.1,1.34,12.89,0.34,6.1,65.3,0.0,97.5
D-Glucose,20.0,65.0,6.5,5.62,15.0,95.0,26.92,10.0,0.1,0.1,0.79,41.62,0.34,6.2,67.3,0.0,101.3
L-Rhamnose,20.0,65.0,6.5,0.09,15.0,67.5,1.23,9.23,1.83,12.19,0.1,0.34,0.19,6.8,6.2,61.0,97.4
L-Rhamnose,20.0,65.0,6.5,0.34,15.0,53.0,3.65,5.87,1.42,6.16,0.1,0.8,0.18,6.8,18.2,30.8,87.4
L-Rhamnose,20.0,65.0,6.5,1.0,15.0,42.5,1.11,5.84,1.15,7.06,0.1,2.46,0.16,6.9,6.0,35.3,96.0
L-Rhamnose,20.0,65.0,6.5,2.12,15.0,50.0,3.86,5.52,2.28,6.35,0.1,4.29,0.16,6.8,19.3,31.8,101.5
L-Rhamnose,20.0,65.0,6.5,5.62,15.0,52.5,1.68,6.66,0.81,9.66,0.1,9.67,0.15,6.8,8.4,48.3,93.4
D-Glucose,10.0,65.0,6.5,0.09,0.0,75.1,7.52,3.14,0.1,0.1,3.16,3.16,0.06,6.7,37.6,0.0,95.0
D-Glucose,10.0,65.0,6.5,0.09,0.01,90.1,11.01,3.13,0.1,0.1,2.93,4.35,0.07,6.6,55.1,0.0,96.4
D-Glucose,10.0,65.0,6.5,0.09,0.05,96.9,12.59,4.15,0.1,0.1,2.61,6.08,0.09,6.5,63.0,0.0,101.0
